,Sample,N,Location,Strat_height_C22-4,Measurement,Type,Mineralogy,Category,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,Ca,Mg,Sr,Mn,altered,alt_spline,color,d18O_T_KON97_icefree,age_model_BW
52,BW-278,11.0,BW,278.0,clumped,Bulk,Calcite,Bulk,56.2,3.32,-4.541852694567499,-1.1,0.5,0.6,1.0,1.1,1.0,1.1,0.5552,0.0076,0.0252,0.0148,39.0,2.9,3.0,5.8,6.1,5.6,5.9,0.236,0.028,49621.42857142857,160.82125,22.8,7.829,y,22.23908076730255,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.56,354.0521739130435
53,BW-279,1.0,BW,279.0,clumped,Bulk,Calcite,Bulk,102.9,3.34,-3.8628475341282766,-1.2,1.7,1.7,3.3,3.5,3.3,3.4,0.5676,0.0246,,0.0484,34.3,8.8,9.6,16.8,20.1,16.6,19.7,0.2979,0.0865,,,,,y,24.0,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.0,354.07608695652175
54,BW-286,5.0,BW,286.0,clumped,Dolomite,Dolomite,Dolomite,75.6,4.82,-2.266966245929674,5.7,0.9,0.8,1.8,1.7,1.8,1.7,0.4738,0.011,0.0284,0.0215,76.5,5.9,6.2,11.4,12.7,11.2,12.4,,,23897.14285714286,13356.25,7.39,15.093333333333334,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",22.95,354.2434782608696
55,BW-290,1.0,BW,290.0,clumped,Dolomite,Dolomite,Dolomite,97.8,4.48,-2.441567572899759,4.6,1.9,2.0,3.9,4.0,3.9,4.0,0.4841,0.0247,,0.0484,71.0,12.2,13.6,23.2,29.1,22.8,28.4,,,31105.714285714286,15195.0,5.7875,15.606666666666667,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",23.81,354.33913043478265
56,BW-294,1.0,BW,294.0,clumped,Dolomite,Dolomite,Dolomite,98.8,4.28,-2.916871185207214,6.6,2.0,1.9,4.0,3.9,3.9,3.9,0.4545,0.0246,,0.0483,87.6,13.9,15.7,26.3,33.7,25.9,33.0,,,27974.285714285717,12516.25,6.541,9.132,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",26.18,354.4347826086957
57,BW-298,1.0,BW,298.0,clumped,Dolomite,Dolomite,Dolomite,95.9,4.25,-3.5473759770436306,6.1,2.0,2.0,4.0,4.0,3.9,3.9,0.4524,0.0246,,0.0482,88.8,14.1,15.9,26.6,34.1,26.1,33.3,,,31885.714285714286,14756.25,7.039,9.207666666666666,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",29.37,354.5304347826087
58,BW-301_4-A,2.0,BW,301.4,clumped,Cement,Dolomite,Cement,101.0,3.36,-3.3242742814707475,-2.5,1.5,1.5,2.9,3.0,2.9,2.9,0.5617,0.0185,0.0074,0.0363,36.5,6.8,7.3,13.2,15.1,12.9,14.8,0.2244,0.0531,,,,,y,30.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",28.23,354.61173913043484
59,BW-301_4-B,1.0,BW,301.4,clumped,Matrix,Dolomite,Matrix,101.7,3.52,-4.168180695159489,-4.6,2.0,2.1,4.0,4.1,3.9,4.0,0.5772,0.0252,,0.0494,30.8,8.7,9.5,16.6,19.9,16.3,19.5,0.2156,0.072,,,,,y,30.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",32.59,354.61173913043484
60,BW-302,1.0,BW,302.0,clumped,Bulk,Calcite,Bulk,69.0,3.51,-3.901647829010517,1.2,1.7,1.8,3.4,3.7,3.4,3.6,0.5322,0.0246,,0.0483,48.4,10.0,11.0,19.1,23.2,18.8,22.7,,,54558.57142857143,194.435,47.67,2.6243333333333334,y,33.39728032592487,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.2,354.62608695652176
61,BW-310,10.0,BW,310.0,clumped,Bulk,Calcite,Bulk,89.5,3.35,-3.8725476078488352,-1.0,0.6,0.5,1.1,1.1,1.1,1.1,0.5644,0.0079,0.0231,0.0154,35.5,2.9,3.0,5.8,6.1,5.6,6.0,0.2153,0.0426,57258.57142857143,215.55000000000004,44.035,8.829666666666666,n,3.552713678800501e-15,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.05,354.81739130434784
