Sample,d13C,d18O_carb,thickness,age,,Sample_p,d18O_p,thickness_p,age_p
MLB-a75,-0.5,-5.8,57.8,354.5,,,,,
MLB-a76,0.3,-5.8,58.6,354.5,,,,,
MLB-a77,0.7,-5.7,60.1,354.4,,,,,
MLB-a78,0.8,-6,61.7,354.4,,,,,
MLB-a79,0.8,-6.3,62.4,354.3,,,,,
MLB-a80,0.3,-6,62.9,354.3,,,,,
MLB-a81,1.2,-6.1,63.7,354.3,,,,,
MLB-a82,1.5,-7.1,64.4,354.3,,,,,
MLB-a83,1.4,-6.3,65.7,354.2,,,,,
MLB-a84,1.3,-6.6,66,354.2,,,,,
MLB-a85,1.6,-6.2,66.9,354.1,,,,,
MLB-a86,1.7,-7.5,68.2,354.1,,,,,
MLB-a87,1.4,-6.2,68.7,354.1,,,,,
MLB-a88,1.2,-6.4,69.3,354,,,,,
MLB-a90,1.2,-7.7,69.5,354,,,,,
MLB-a91,1.9,-7.7,70.1,354,,,,,
MLB-a92,2.5,-7.2,72,353.9,,,,,
MLB-a93,3.8,-7.1,73.8,353.9,,,,,
MLB-a94,3.9,-6.8,81.7,353.5,,,,,
MLB-a95,4.3,-6.3,82.7,353.5,,,,,
MLB-a96,4.2,-6.7,83.8,353.4,,,,,
MLB-a97,4.5,-6.7,84.7,353.4,,,,,
MLB-a98,4.8,-5.4,85.3,353.4,,,,,
MLB-a99,5.2,-5.4,86.2,353.3,,,,,
MLB-a100,4.8,-5.6,87.5,353.3,,,,,
MLB-a101,5.1,-6.2,88.6,353.2,,,,,
MLB-a102,5.2,-6.4,89.4,353.2,,,,,
MLB-a103,5.8,-6,90.1,353.2,,,,,
MLB-a104,5.2,-6.2,91.3,353.1,,,,,
MLB-a105,5.8,-6.1,92.8,353.1,,,,,
MLB-a106,4.9,-7.5,94,353,,,,,
MLB-a107,5.7,-6.1,96,352.9,,,,,
MLB-a108,5.5,-6.4,97.7,352.9,,,,,
MLB-a109,6,-6.3,100.2,352.7,,,,,
MLB-a110,5.9,-6,101.2,352.7,,,,,
MLB-a111,5.1,-7.7,104,352.6,,,,,
MLB-a112,5.2,-6.3,105.1,352.3,,,,,
MLB-a113,4,-6.5,105.9,352.2,,,,,
MLB-a114,4.3,-6.4,107.5,352.2,,,,,
MLB-a115,3.4,-7.8,108.5,352.2,,,,,
